identifier,province,year,rebcompetition,civiliansdeaths,totalaid
1996Bandundu,Bandundu,1996,0,0,NA
1996Bas-Congo,Bas-Congo,1996,0,0,NA
1996Equateur,Equateur,1996,0,0,NA
1996Kasai-Occidental,Kasai-Occidental,1996,0,0,27441
1996Kasai-Oriental,Kasai-Oriental,1996,0,0,NA
1996Katanga,Katanga,1996,0,0,994025
1996Kinshasa,Kinshasa,1996,0,2,1279536
1996Maniema,Maniema,1996,0,0,NA
1996North Kivu,North Kivu,1996,7,15262,11297933
1996Orientale,Orientale,1996,0,111,NA
1996South Kivu,South Kivu,1996,6,17324,60370
1997Bandundu,Bandundu,1997,0,2,NA
1997Bas-Congo,Bas-Congo,1997,0,0,103192
1997Equateur,Equateur,1997,1,2837,296714
1997Kasai-Occidental,Kasai-Occidental,1997,0,9,NA
1997Kasai-Oriental,Kasai-Oriental,1997,0,0,231833
1997Katanga,Katanga,1997,1,200,92845
1997Kinshasa,Kinshasa,1997,0,4,5410400
1997Maniema,Maniema,1997,2,414,37474
1997North Kivu,North Kivu,1997,3,1964,757058
1997Orientale,Orientale,1997,2,1438,100676
1997South Kivu,South Kivu,1997,1,2132,321199
1998Bandundu,Bandundu,1998,0,1,NA
1998Bas-Congo,Bas-Congo,1998,0,0,391139
1998Equateur,Equateur,1998,0,4,NA
1998Kasai-Occidental,Kasai-Occidental,1998,0,0,12122
1998Kasai-Oriental,Kasai-Oriental,1998,0,0,NA
1998Katanga,Katanga,1998,1,352,1046053
1998Kinshasa,Kinshasa,1998,1,406,3769230
1998Maniema,Maniema,1998,1,161,42703
1998North Kivu,North Kivu,1998,4,995,1260129
1998Orientale,Orientale,1998,0,26,748782
1998South Kivu,South Kivu,1998,2,2634,453475
1999Bandundu,Bandundu,1999,0,0,NA
1999Bas-Congo,Bas-Congo,1999,0,0,NA
1999Equateur,Equateur,1999,0,425,80375
1999Kasai-Occidental,Kasai-Occidental,1999,1,70,NA
1999Kasai-Oriental,Kasai-Oriental,1999,0,0,783982
1999Katanga,Katanga,1999,2,484,4973
1999Kinshasa,Kinshasa,1999,0,0,3489813
1999Maniema,Maniema,1999,1,11,NA
1999North Kivu,North Kivu,1999,4,136,10886
1999Orientale,Orientale,1999,2,320,NA
1999South Kivu,South Kivu,1999,4,928,802220
2000Bandundu,Bandundu,2000,0,0,185504
2000Bas-Congo,Bas-Congo,2000,0,0,816646
2000Equateur,Equateur,2000,0,75,198982
2000Kasai-Occidental,Kasai-Occidental,2000,0,7,NA
2000Kasai-Oriental,Kasai-Oriental,2000,1,7,NA
2000Katanga,Katanga,2000,3,108,1670237
2000Kinshasa,Kinshasa,2000,0,0,8356670
2000Maniema,Maniema,2000,2,0,NA
2000North Kivu,North Kivu,2000,5,96,4611193
2000Orientale,Orientale,2000,3,15,5020481
2000South Kivu,South Kivu,2000,10,335,1159958
2001Bandundu,Bandundu,2001,0,0,194333
2001Bas-Congo,Bas-Congo,2001,0,0,1794923
2001Equateur,Equateur,2001,0,0,304841
2001Kasai-Occidental,Kasai-Occidental,2001,1,5,151404
2001Kasai-Oriental,Kasai-Oriental,2001,1,10,7216157
2001Katanga,Katanga,2001,4,12,3861471
2001Kinshasa,Kinshasa,2001,0,0,7116880
2001Maniema,Maniema,2001,2,34,23333
2001North Kivu,North Kivu,2001,6,31,1724258
2001Orientale,Orientale,2001,2,293,615242
2001South Kivu,South Kivu,2001,2,31,1681694
2002Bandundu,Bandundu,2002,0,0,565158
2002Bas-Congo,Bas-Congo,2002,0,0,4657085
2002Equateur,Equateur,2002,0,0,1254383
2002Kasai-Occidental,Kasai-Occidental,2002,0,1,40582
2002Kasai-Oriental,Kasai-Oriental,2002,1,0,194527
2002Katanga,Katanga,2002,3,229,997977
2002Kinshasa,Kinshasa,2002,0,0,74751075
2002Maniema,Maniema,2002,2,404,1178602
2002North Kivu,North Kivu,2002,3,59,19192648
2002Orientale,Orientale,2002,16,3443,2743039
2002South Kivu,South Kivu,2002,5,284,293192
2003Bandundu,Bandundu,2003,0,0,3084531
2003Bas-Congo,Bas-Congo,2003,0,0,1526323
2003Equateur,Equateur,2003,0,0,214640607
2003Kasai-Occidental,Kasai-Occidental,2003,0,0,29444
2003Kasai-Oriental,Kasai-Oriental,2003,0,0,428396360
2003Katanga,Katanga,2003,1,25,348291044
2003Kinshasa,Kinshasa,2003,0,0,2622739660
2003Maniema,Maniema,2003,0,0,1784996
2003North Kivu,North Kivu,2003,1,71,259490894
2003Orientale,Orientale,2003,14,2495,273450361
2003South Kivu,South Kivu,2003,4,62,216798581
2004Bandundu,Bandundu,2004,0,0,45213644
2004Bas-Congo,Bas-Congo,2004,0,0,42428599
2004Equateur,Equateur,2004,0,0,25072738
2004Kasai-Occidental,Kasai-Occidental,2004,0,0,3929020
2004Kasai-Oriental,Kasai-Oriental,2004,0,0,1279321
2004Katanga,Katanga,2004,1,200,4608967
2004Kinshasa,Kinshasa,2004,0,0,NA
2004Maniema,Maniema,2004,0,0,621195
2004North Kivu,North Kivu,2004,5,195,12655120
2004Orientale,Orientale,2004,5,200,52391275
2004South Kivu,South Kivu,2004,3,83,103760702
2005Bandundu,Bandundu,2005,0,0,90466309
2005Bas-Congo,Bas-Congo,2005,0,0,90569224
2005Equateur,Equateur,2005,0,9,155863993
2005Kasai-Occidental,Kasai-Occidental,2005,0,0,127443607
2005Kasai-Oriental,Kasai-Oriental,2005,0,0,200331840
2005Katanga,Katanga,2005,1,37,161974641
2005Kinshasa,Kinshasa,2005,0,0,NA
2005Maniema,Maniema,2005,0,0,315000
2005North Kivu,North Kivu,2005,2,17,5383160
2005Orientale,Orientale,2005,1,56,20607123
2005South Kivu,South Kivu,2005,2,153,3458736
2006Bandundu,Bandundu,2006,0,0,12680828
2006Bas-Congo,Bas-Congo,2006,0,0,34462253
2006Equateur,Equateur,2006,0,0,2275342
2006Kasai-Occidental,Kasai-Occidental,2006,0,0,1168772
2006Kasai-Oriental,Kasai-Oriental,2006,0,0,NA
2006Katanga,Katanga,2006,1,0,29973015
2006Kinshasa,Kinshasa,2006,0,0,82940972
2006Maniema,Maniema,2006,0,0,1721241
2006North Kivu,North Kivu,2006,2,0,42009470
2006Orientale,Orientale,2006,2,0,23353060
2006South Kivu,South Kivu,2006,2,0,26260767
2007Bandundu,Bandundu,2007,0,0,16810607
2007Bas-Congo,Bas-Congo,2007,0,0,34371747
2007Equateur,Equateur,2007,0,0,15872502
2007Kasai-Occidental,Kasai-Occidental,2007,0,0,5291931
2007Kasai-Oriental,Kasai-Oriental,2007,0,0,10192949
2007Katanga,Katanga,2007,0,0,167037735
2007Kinshasa,Kinshasa,2007,0,0,469497064
2007Maniema,Maniema,2007,0,0,8448386
2007North Kivu,North Kivu,2007,5,0,23618994
2007Orientale,Orientale,2007,1,0,36065254
2007South Kivu,South Kivu,2007,4,0,23141813
2008Bandundu,Bandundu,2008,0,0,NA
2008Bas-Congo,Bas-Congo,2008,0,0,22675188
2008Equateur,Equateur,2008,0,0,1900005
2008Kasai-Occidental,Kasai-Occidental,2008,0,0,NA
2008Kasai-Oriental,Kasai-Oriental,2008,0,0,NA
2008Katanga,Katanga,2008,0,0,2.50E+08
2008Kinshasa,Kinshasa,2008,0,0,300019131
2008Maniema,Maniema,2008,0,0,NA
2008North Kivu,North Kivu,2008,4,0,27972245
2008Orientale,Orientale,2008,3,0,900004
2008South Kivu,South Kivu,2008,1,0,100500000
